url,sourceTitle,new_lrt,discipline,educationalContext,intendedEndUserRole,typicalAgeRangeFrom,typicalAgeRangeTo,language,keyword,Eingetragen am,KldB (4-stellig),Beruf,ESCO
https://www.youtube.com/channel/UC5dBZm6ztKizdUnN7Puz3QQ/featured,Entropy - Wissenschaft schnell erklärt,7a6e9608-2554-4981-95dc-47ab9ba924de,460,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,99,de,,,,,
https://www.youtube.com/channel/UCEI2CJCaMKZVEtrUKzubaSA/featured,"Yggis Kosmos - Sterne, Weltall und Raumfahrt",7a6e9608-2554-4981-95dc-47ab9ba924de,46014,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,99,de,,,,,
https://www.youtube.com/channel/UCTUMMgOW9UJoodX5j0mequA/featured,Einfach Englisch,7a6e9608-2554-4981-95dc-47ab9ba924de,20001,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,99,de,,,,,
https://www.youtube.com/channel/UChfQ0jgQYSVTGP6ofkYxEPA/featured,Digitalisierung der Lehre,7a6e9608-2554-4981-95dc-47ab9ba924de,400; 900; 720,,teacher,10,99,de,,,,,
https://www.youtube.com/channel/UC9qz57b7zwZ42IfTYwM2xNA/featured,Kunstmuseum Wolfsburg,7a6e9608-2554-4981-95dc-47ab9ba924de,060,Sekundarstufe 2,learner; teacher,10,99,de,,,,,
https://www.youtube.com/channel/UCVYe_JtNP8w4iF5IELjq4Kw/featured,Rijks Creative,7a6e9608-2554-4981-95dc-47ab9ba924de,060,Sekundarstufe 2,learner; teacher,10,99,de,,,,,
https://www.youtube.com/channel/UCLKfBeCr5QAaIuO89ax4-EA/featured,Kunstmuseum Moritzburg Halle (Saale),7a6e9608-2554-4981-95dc-47ab9ba924de,060,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,99,de,,,,,
https://www.youtube.com/channel/UCR0VS7_wuJBzLJ-ZR_nbipg/featured,Angewandte Theaterforschung,7a6e9608-2554-4981-95dc-47ab9ba924de,12002,,teacher,10,99,de,,,,,
https://www.youtube.com/channel/UChFbmxYZ8VVThe_mcD1vo_A/featured,Drama Menu,7a6e9608-2554-4981-95dc-47ab9ba924de,12002,,teacher,10,99,de,,,,,
https://www.youtube.com/channel/UCVYe_JtNP8w4iF5IELjq4Kw/featured,Pass the Sound,7a6e9608-2554-4981-95dc-47ab9ba924de,12002; 420,,teacher,10,99,de,,,,,
https://www.youtube.com/channel/UCPSc634TPhvYc18_QyahKMQ/featured,Alina Sonnenschein,7a6e9608-2554-4981-95dc-47ab9ba924de,28002,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,99,de,,,,,
https://www.youtube.com/channel/UCaMpov1PPVXGcKYgwHjXB3g/featured,The Virtual Linguistics Campus,7a6e9608-2554-4981-95dc-47ab9ba924de,20001,,learner; teacher,16,99,en,,,,,
https://www.youtube.com/channel/UComfd9z6KFVP3nggiME6-7w/featured,German as a Foreign Language,7a6e9608-2554-4981-95dc-47ab9ba924de,28002,Sekundarstufe 2; Erwachsenenbildung,learner; teacher,16,99,de; ar,,,,,
https://www.youtube.com/channel/UC7mZyCH5ppdYdJrHuxjJtkw/featured,Educational Robotics,7a6e9608-2554-4981-95dc-47ab9ba924de,320; 04005,,teacher; learner,16,99,de; en,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Playlists,,,,,,,,,,,,,
https://www.youtube.com/playlist?list=PLC9D2mzTyJeXYa6E1y_d0fc_7-V7BJnSq,DigiFernunterricht,7a6e9608-2554-4981-95dc-47ab9ba924de,720,,teacher,18,99,de,,,,,
https://www.youtube.com/playlist?list=PLFhPjADeGDodbVSSL8LE00SNjQIPiyamr,Webinare Deutsches Lehrkräfteforum,7a6e9608-2554-4981-95dc-47ab9ba924de,720,,teacher,18,99,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmMbx6lR3Iqr4lx2LZhdOGvh,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,720,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmMkEP2oJInr6cGn2RR-e_Ab,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,240; 480; 48005; 120; 220; 700,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmNUPitIsXFXH25BVaT30Mm8,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,720; 120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmOhFouDVMB3A2qKuTlJyQ0X,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPpnBgRyNkkjEyjtr6tSSrM,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmMfiJhYBmXijbEQA56W1flc,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmODHAgYWLZ9h1q2-HgUrpvc,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPdGnEoam4hb4T9Iv8M3bhz,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmNwPtN6bnWzQnasKm1N0TrK,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
