inferenced;title;url;discipline;learningResourceType;systematics;discipline systematics;words primary
True;Deutsch-Deutsche Beziehungen nach 1945                              B;https://www.tutory.de/bereitstellung/dokument/4f298383-3310-4518-ada3-a0067649e6c1;Deutsch;;Comics, Cartoons, Partnerschaft, Beziehungen, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Anlässe zum Sprechen, Lesen, Schreiben, Mittelalter, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Beziehungen und Beziehungskonflikte, Märchen, Sagen, Darstellendes Spiel, Schultheater, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;SEXUALERZIEHUNG, KINDER- UND JUGENDBILDUNG, GRUNDSCHULE, DEUTSCH;;
True;Arbeitsauftrag Mathe 11.09.20;https://www.tutory.de/bereitstellung/dokument/a30930b9-44f5-4731-a345-7997f8301b6a;Mathematik;;Arbeit;POLITISCHE BILDUNG;;
True;Prüfungsleistung Geschichtsdidaktik - Handreichung ;https://www.tutory.de/bereitstellung/dokument/7a22224f-6a0f-48f3-8a9a-1c30294fce3a;;;Kaiser, Kirche, Reich, Methodik, Didaktik, Sprechen, Didaktik und Methodik des Informationsunterrichts, Schreiben;INFORMATIONSTECHNISCHE BILDUNG, PÄDAGOGIK, DEUTSCH, GESCHICHTE;;
True;Zahlenraum bis 100;https://www.tutory.de/bereitstellung/dokument/13b4837c-f9ef-4cea-9bf7-b92ab09eff46;;;Zahlen, Grundrechenarten, Zahlen, Algebra, Raum und Ebenen;MATHEMATIK, GRUNDSCHULE;;
False; ;https://www.tutory.de/bereitstellung/dokument/a9047bbb-c6d1-44ab-b3a4-0d974a296ded;;;;;;
True;Alltag von Kindern und Jugendlichen im NS-Staat;https://www.tutory.de/bereitstellung/dokument/0d3cec30-f3be-42b0-94eb-316297e3cc01;;;Staat, Gemeinde, Alltag, Künstliche Intelligenz;INFORMATIONSTECHNISCHE BILDUNG, GEOGRAPHIE, GESCHICHTE;;
False; ;https://www.tutory.de/bereitstellung/dokument/5bfb36c5-f0b7-44d5-8b42-e33e2767a0d7;;;;;;
False;Berliner Blockade;https://www.tutory.de/bereitstellung/dokument/93048976-a5d4-4758-80ef-bf4c17c63532;;;;;;
False;Demokratie;https://www.tutory.de/bereitstellung/dokument/b427dfa5-316b-46f7-b313-1ce5eed50729;;;;;;
True;Material und Erwartungsbild - Industrialisierung;https://www.tutory.de/bereitstellung/dokument/8748b3c4-c28b-4a7b-a5ec-5d0a4f79f503;;Bild;Industrialisierung und soziale Frage;GESCHICHTE;;
True;Aufbau von Berufen ;https://www.tutory.de/bereitstellung/dokument/e571fd87-2777-4925-a876-ca48ed9e7f2a;;;Anpassung, Bau, Pflege, Berufe;GRUNDSCHULE, ELEMENTARBEREICH, VORSCHULERZIEHUNG;;
True;Handreichung - Industrialisierung ;https://www.tutory.de/bereitstellung/dokument/0ed829af-2a1f-430c-83cd-2f46f6b665d9;;;Kaiser, Kirche, Reich, Industrialisierung und soziale Frage;GESCHICHTE;;
True;English_Vocabulary Test;https://www.tutory.de/bereitstellung/dokument/90a69a66-e756-4d3e-b3ce-2bcf5f544f6c;Englisch;;;;;
True;Leistungskontrolle und Erwartungshorizont: Zusammentreffen, Version A;https://www.tutory.de/bereitstellung/dokument/8ef1b719-0a02-4ada-8520-5e5800fa63de;;;Nordamerika, USA;GEOGRAPHIE, FREMDSPRACHEN;;
True;Handel im Mittelalter - Leistungsüberprüfung;https://www.tutory.de/bereitstellung/dokument/a9a868c1-d9e7-4da8-9d99-f5a3227de966;;;Mittelalter, Handel, Versorgung;GEOGRAPHIE, DEUTSCH;;
True;Handel im Mittelalter - Handreichung;https://www.tutory.de/bereitstellung/dokument/f2d55fcd-af0c-4d77-8eca-0d73209cf8d0;;;Mittelalter, Handel, Versorgung, Kaiser, Kirche, Reich;GEOGRAPHIE, DEUTSCH, GESCHICHTE;;
True;Handel im Mittelalter - Material;https://www.tutory.de/bereitstellung/dokument/24e456a1-af8a-405a-a56d-df5d47e9c52b;;;Mittelalter, Handel, Versorgung;GEOGRAPHIE, DEUTSCH;;
False;Codes und Codierung 7;https://www.tutory.de/bereitstellung/dokument/b421c28f-6bdd-41e9-84ca-3f0de4b859ef;;;;;;
False;Leistungskontrolle Emser Depesche- Fake News;https://www.tutory.de/bereitstellung/dokument/03262953-6cc4-4361-b6b8-00f8f46a3553;;;;;;
False;Leistungskontrolle Emser Depesche- Fake News;https://www.tutory.de/bereitstellung/dokument/02745f7b-d3b9-4583-bd28-f8b7fe9db80f;;;;;;
False;Emser Depesche (1870) Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/a21873ca-5397-4c1a-95d6-3ac9f902603f;;;;;;
False;Programme von Open Roberta auf Microkontroller hochladen;https://www.tutory.de/bereitstellung/dokument/106daf9a-ed45-4811-9a77-d93570cd72db;;;;;;
True;Handreichung: Zusammentreffen der Religionen im MA;https://www.tutory.de/bereitstellung/dokument/0825e4b8-870a-47cb-92cb-759629acb442;Religion;;Mission, Religion, Ethik, Weltanschauungen, Ideologien, Ökumene, Vertrauen, Kirchengeschichte, Sakramente, Gottesdienst, Naturreligionen, Animismus, Schamanismus, Altes Testament, Theater, Christliche Konfessionen, Religiöses Brauchtum, Meditation, Religionen, Weltanschauungen, Riten, Symbole, Bild und Plastik, Kirchliche Berufe, Kirchliche Gruppen, Verbände, USA, Glaube, Wahrnehmung der Schöpfung, Musik, Kirche und Entwicklungsländer, Sekten, neue religiöse Strömungen, Kirche und Staat, Gebet, Magie, Aberglaube, Nordamerika, Kaiser, Kirche, Reich, Orden, Kommunitäten, Architektur, Gemeinschaft, Film, Tod, Nichtchristliche Religionen, Neues Testament, Kirchenjahr, Kirche und säkularisiertes Leben, Kirchliche Strukturen, Kirchliche Sozialarbeit, Gemeindeleben, Persönlichkeitsbilder, Literatur, Verlust;RELIGION, GEOGRAPHIE, ETHIK, ELEMENTARBEREICH, VORSCHULERZIEHUNG, FREMDSPRACHEN, GESCHICHTE;;
True;Leistungskontrolle und Erwartungshorizont: Zusammentreffen der Religionen, Version B;https://www.tutory.de/bereitstellung/dokument/c2f69c7e-09ab-4c1c-b1fb-a760473b9671;Religion;;Mission, Religion, Ethik, Weltanschauungen, Ideologien, Ökumene, Vertrauen, Kirchengeschichte, Sakramente, Gottesdienst, Naturreligionen, Animismus, Schamanismus, Altes Testament, Theater, Christliche Konfessionen, Religiöses Brauchtum, Meditation, Religionen, Weltanschauungen, Riten, Symbole, Bild und Plastik, Kirchliche Berufe, Kirchliche Gruppen, Verbände, USA, Glaube, Wahrnehmung der Schöpfung, Musik, Kirche und Entwicklungsländer, Sekten, neue religiöse Strömungen, Kirche und Staat, Gebet, Magie, Aberglaube, Nordamerika, Orden, Kommunitäten, Architektur, Gemeinschaft, Film, Tod, Nichtchristliche Religionen, Neues Testament, Kirchenjahr, Kirche und säkularisiertes Leben, Kirchliche Strukturen, Kirchliche Sozialarbeit, Gemeindeleben, Persönlichkeitsbilder, Literatur, Verlust;RELIGION, GEOGRAPHIE, ETHIK, ELEMENTARBEREICH, VORSCHULERZIEHUNG, FREMDSPRACHEN;;
True;Erwartungshorizont: Zusammentreffen der Religionen im MA, Version A;https://www.tutory.de/bereitstellung/dokument/d990025c-064a-4161-a1ea-29615b692dde;Religion;;Mission, Religion, Ethik, Weltanschauungen, Ideologien, Ökumene, Vertrauen, Kirchengeschichte, Sakramente, Gottesdienst, Naturreligionen, Animismus, Schamanismus, Altes Testament, Theater, Christliche Konfessionen, Religiöses Brauchtum, Meditation, Religionen, Weltanschauungen, Riten, Symbole, Bild und Plastik, Kirchliche Berufe, Kirchliche Gruppen, Verbände, USA, Glaube, Wahrnehmung der Schöpfung, Musik, Kirche und Entwicklungsländer, Sekten, neue religiöse Strömungen, Kirche und Staat, Gebet, Magie, Aberglaube, Nordamerika, Orden, Kommunitäten, Architektur, Gemeinschaft, Film, Tod, Nichtchristliche Religionen, Neues Testament, Kirchenjahr, Kirche und säkularisiertes Leben, Kirchliche Strukturen, Kirchliche Sozialarbeit, Gemeindeleben, Persönlichkeitsbilder, Literatur, Verlust;RELIGION, GEOGRAPHIE, ETHIK, ELEMENTARBEREICH, VORSCHULERZIEHUNG, FREMDSPRACHEN;;
True;Erwartungshorizont: Zusammentreffen der Religionen im MA, Version B;https://www.tutory.de/bereitstellung/dokument/9e2ca550-5dfa-4d44-ae36-ee16c02e4dde;Religion;;Mission, Religion, Ethik, Weltanschauungen, Ideologien, Ökumene, Vertrauen, Kirchengeschichte, Sakramente, Gottesdienst, Naturreligionen, Animismus, Schamanismus, Altes Testament, Theater, Christliche Konfessionen, Religiöses Brauchtum, Meditation, Religionen, Weltanschauungen, Riten, Symbole, Bild und Plastik, Kirchliche Berufe, Kirchliche Gruppen, Verbände, USA, Glaube, Wahrnehmung der Schöpfung, Musik, Kirche und Entwicklungsländer, Sekten, neue religiöse Strömungen, Kirche und Staat, Gebet, Magie, Aberglaube, Nordamerika, Orden, Kommunitäten, Architektur, Gemeinschaft, Film, Tod, Nichtchristliche Religionen, Neues Testament, Kirchenjahr, Kirche und säkularisiertes Leben, Kirchliche Strukturen, Kirchliche Sozialarbeit, Gemeindeleben, Persönlichkeitsbilder, Literatur, Verlust;RELIGION, GEOGRAPHIE, ETHIK, ELEMENTARBEREICH, VORSCHULERZIEHUNG, FREMDSPRACHEN;;
True;Lernmaterial: Zusammentreffen der Religionen im MA, Version B;https://www.tutory.de/bereitstellung/dokument/d764eed9-7d48-46ba-a1f5-0752887b2ba1;Religion;;Mission, Religion, Ethik, Weltanschauungen, Ideologien, Ökumene, Vertrauen, Kirchengeschichte, Sakramente, Gottesdienst, Naturreligionen, Animismus, Schamanismus, Altes Testament, Theater, Christliche Konfessionen, Religiöses Brauchtum, Meditation, Religionen, Weltanschauungen, Riten, Symbole, Bild und Plastik, Kirchliche Berufe, Kirchliche Gruppen, Verbände, USA, Glaube, Wahrnehmung der Schöpfung, Musik, Kirche und Entwicklungsländer, Sekten, neue religiöse Strömungen, Kirche und Staat, Gebet, Magie, Aberglaube, Nordamerika, Orden, Kommunitäten, Architektur, Gemeinschaft, Film, Tod, Nichtchristliche Religionen, Neues Testament, Kirchenjahr, Kirche und säkularisiertes Leben, Kirchliche Strukturen, Kirchliche Sozialarbeit, Gemeindeleben, Persönlichkeitsbilder, Literatur, Verlust;RELIGION, GEOGRAPHIE, ETHIK, ELEMENTARBEREICH, VORSCHULERZIEHUNG, FREMDSPRACHEN;;
True;Lernmaterial: Zusammentreffen der Religionen im MA, Version A;https://www.tutory.de/bereitstellung/dokument/5f61c73b-0732-4a9f-9474-0238583b68cd;Religion;;Mission, Religion, Ethik, Weltanschauungen, Ideologien, Ökumene, Vertrauen, Kirchengeschichte, Sakramente, Gottesdienst, Naturreligionen, Animismus, Schamanismus, Altes Testament, Theater, Christliche Konfessionen, Religiöses Brauchtum, Meditation, Religionen, Weltanschauungen, Riten, Symbole, Bild und Plastik, Kirchliche Berufe, Kirchliche Gruppen, Verbände, USA, Glaube, Wahrnehmung der Schöpfung, Musik, Kirche und Entwicklungsländer, Sekten, neue religiöse Strömungen, Kirche und Staat, Gebet, Magie, Aberglaube, Nordamerika, Orden, Kommunitäten, Architektur, Gemeinschaft, Film, Tod, Nichtchristliche Religionen, Neues Testament, Kirchenjahr, Kirche und säkularisiertes Leben, Kirchliche Strukturen, Kirchliche Sozialarbeit, Gemeindeleben, Persönlichkeitsbilder, Literatur, Verlust;RELIGION, GEOGRAPHIE, ETHIK, ELEMENTARBEREICH, VORSCHULERZIEHUNG, FREMDSPRACHEN;;
True;Nord-, Süd- und Mittelamerika;https://www.tutory.de/bereitstellung/dokument/79806a09-5e3e-490c-b541-4feb546109d6;;;Mittelamerika;GEOGRAPHIE;;
False;Lernzielkontrolle;https://www.tutory.de/bereitstellung/dokument/0753feaa-4730-4d84-992d-c3f5c5df434a;;;;;;
True;Arbeitsauftrag;https://www.tutory.de/bereitstellung/dokument/7fb4d5ab-bff7-4cec-9ade-0a0fcfae982b;;;Arbeit;POLITISCHE BILDUNG;;
True;Zusatzaufgabe;https://www.tutory.de/bereitstellung/dokument/bc30d767-beee-45a3-85da-aa03fffcde33;;;Nordamerika, USA;GEOGRAPHIE, FREMDSPRACHEN;;
True;Formulierungshilfen;https://www.tutory.de/bereitstellung/dokument/ad43804f-07ae-447e-95fd-e8783f682afd;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
True;Arbeitsauftrag;https://www.tutory.de/bereitstellung/dokument/0e5f9b8a-f887-4f60-8a5f-faeaa60c7299;;;Arbeit;POLITISCHE BILDUNG;;
True;Drei sprachliche Grundprinzipien Erarbeitung;https://www.tutory.de/bereitstellung/dokument/2adc0d06-2961-42af-a18d-bee3405eb2c9;;;Arbeit;POLITISCHE BILDUNG;;
False;Drei sprachliche Grundprinzipien Merkblatt;https://www.tutory.de/bereitstellung/dokument/179afe48-c2f3-4f1c-aca8-b3131475985c;;;;;;
False;Drei sprachliche Grundprinzipien;https://www.tutory.de/bereitstellung/dokument/c890e59c-ccda-4c8a-b742-ef3e40ecaa29;;;;;;
False;Steckbrief Ecuador;https://www.tutory.de/bereitstellung/dokument/e26f2e37-dd48-483a-986d-981b660f9612;;;;;;
False;Steckbrief Argentinien;https://www.tutory.de/bereitstellung/dokument/b153dd86-fd57-44a3-8d4c-928384d86a8d;;;;;;
False;Steckbrief Brasilien;https://www.tutory.de/bereitstellung/dokument/5579d01c-6176-4a25-9cd4-0c891926e972;;;;;;
False;Steckbrief Guyana;https://www.tutory.de/bereitstellung/dokument/14aa1c48-ab67-4448-a1c5-4540c940a53c;;;;;;
True;Die 4 Grundprinzipien einer gelungenen Kommunikation;https://www.tutory.de/bereitstellung/dokument/b9b9783c-97b4-42bf-9910-c49d09ed8d44;;;Kommunikation, Massenkommunikation;POLITISCHE BILDUNG;;
True;Nord-, Süd- und Mittelamerika;https://www.tutory.de/bereitstellung/dokument/166ee79b-8c05-488d-b667-eb4965032eb0;;;Mittelamerika;GEOGRAPHIE;;
True;Die 4 Grundprinzipien einer gelungenen Kommunikation Merkblatt;https://www.tutory.de/bereitstellung/dokument/c0d8a1cc-dd30-4a95-92c3-476e1948ccbb;;;Kommunikation, Massenkommunikation;POLITISCHE BILDUNG;;
False;Bewertungsbogen Kurzreferat 2;https://www.tutory.de/bereitstellung/dokument/c79d0b2c-158b-47cb-ba8b-a8bc42e92483;;;;;;
False;Lernzielkontrolle;https://www.tutory.de/bereitstellung/dokument/499954fb-f7bb-4402-b1a7-f17b5e0cea35;;;;;;
True;Arbeitsauftrag;https://www.tutory.de/bereitstellung/dokument/4e47a2ed-85f0-40a8-a4fd-639a9252edf3;;;Arbeit;POLITISCHE BILDUNG;;
False;Bewertungsbogen Kurzreferat;https://www.tutory.de/bereitstellung/dokument/466e1952-730f-4a43-9ce6-28d91899727c;;;;;;
True;Zusatzaufgabe;https://www.tutory.de/bereitstellung/dokument/59eebf20-c83f-4f96-8a4d-995f8ea05712;;;Nordamerika, USA;GEOGRAPHIE, FREMDSPRACHEN;;
True;Südamerikas Staaten Steckbrief;https://www.tutory.de/bereitstellung/dokument/9a835119-335f-48be-b3ef-a8ed5166b4e5;;;Sprechen, Schreiben, Staat, Gemeinde;GEOGRAPHIE, DEUTSCH;;
True;Formulierungshilfen;https://www.tutory.de/bereitstellung/dokument/a8ce041b-e95e-4b30-96b8-510826e51108;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
True;Arbeitsauftrag 11.09.20;https://www.tutory.de/bereitstellung/dokument/4e5d9ecc-6409-4227-a79b-156458671389;;;Arbeit;POLITISCHE BILDUNG;;
True;Arbeitsauftrag;https://www.tutory.de/bereitstellung/dokument/80e209e5-eb94-4d34-ac21-31da65b8341b;;;Arbeit;POLITISCHE BILDUNG;;
True;Arbeitsauftrag 28.08.20;https://www.tutory.de/bereitstellung/dokument/d67c9025-06f4-454c-9c94-6cfb4089961d;;;Arbeit;POLITISCHE BILDUNG;;
True;Drei sprachliche Grundprinzipien Erarbeitung;https://www.tutory.de/bereitstellung/dokument/4e47cb10-11a1-4e0f-a6ce-16e56524d17f;;;Arbeit;POLITISCHE BILDUNG;;
False;Drei sprachliche Grundprinzipien Merkblatt;https://www.tutory.de/bereitstellung/dokument/5c9357fa-a249-4bdc-8f62-58daf61555e9;;;;;;
False;Drei sprachliche Grundprinzipien;https://www.tutory.de/bereitstellung/dokument/d3dd509f-6b25-4146-a257-1bcfc9034c2d;;;;;;
False;Steckbrief Ecuador;https://www.tutory.de/bereitstellung/dokument/3daeeff1-a91a-49de-bcdf-a28ff8c5a9da;;;;;;
False;Steckbrief Argentinien;https://www.tutory.de/bereitstellung/dokument/415376c7-cd0a-4910-b3f5-cc741ae889c3;;;;;;
False;Steckbrief Brasilien;https://www.tutory.de/bereitstellung/dokument/1ec88f12-d7f9-403c-ad56-c86027ffb57a;;;;;;
False;Steckbrief Guyana;https://www.tutory.de/bereitstellung/dokument/45df3285-1a72-470a-be24-27669247af2a;;;;;;
True;Die 4 Grundprinzipien einer gelungenen Kommunikation;https://www.tutory.de/bereitstellung/dokument/a403ccdd-984a-4846-b652-862f82244fec;;;Kommunikation, Massenkommunikation;POLITISCHE BILDUNG;;
True;Die 4 Grundprinzipien einer gelungenen Kommunikation Merkblatt;https://www.tutory.de/bereitstellung/dokument/9cffcc5b-95c9-4bf5-a365-369a97d9b340;;;Kommunikation, Massenkommunikation;POLITISCHE BILDUNG;;
False;Bewertungsbogen Kurzreferat 2;https://www.tutory.de/bereitstellung/dokument/e10e80fb-7555-48a9-92da-a9b15c93d362;;;;;;
False;Bewertungsbogen Kurzreferat;https://www.tutory.de/bereitstellung/dokument/7c801adf-fe29-4301-96af-8f32ca850f27;;;;;;
True;Südamerikas Staaten Steckbrief;https://www.tutory.de/bereitstellung/dokument/35fae537-284a-49cc-a028-b5f707a747df;;;Sprechen, Schreiben, Staat, Gemeinde;GEOGRAPHIE, DEUTSCH;;
True;Arbeitsauftrag 11.09.20;https://www.tutory.de/bereitstellung/dokument/ba77673e-7440-4002-979b-56c2ffe23e40;;;Arbeit;POLITISCHE BILDUNG;;
True;Arbeitsauftrag 28.08.20;https://www.tutory.de/bereitstellung/dokument/68ec40b9-833b-4600-b694-00028dbf8c9d;;;Arbeit;POLITISCHE BILDUNG;;
False;Open Roberta Connector Software installieren;https://www.tutory.de/bereitstellung/dokument/191653a5-ef70-4d56-bfde-d14ccaf9a913;;;;;;
True;Leben eines Tänzers;https://www.tutory.de/bereitstellung/dokument/884e5e3d-5ea8-4cea-9662-6ad831f6aadc;;;Tanz, Tanzen, Musizieren, Singen, Tanzen;SPORT, GRUNDSCHULE, ELEMENTARBEREICH, VORSCHULERZIEHUNG;;
False;Serial Monitor - Micro:bit und Calliope mini;https://www.tutory.de/bereitstellung/dokument/25e97aa3-fef8-476a-b042-b69f219321a0;;;;;;
False;Serial Monitor - Arduino;https://www.tutory.de/bereitstellung/dokument/8924e25c-c168-4e9a-b3f6-9b0b1001a72d;;;;;;
False;Steckbrief Ecuador;https://www.tutory.de/bereitstellung/dokument/4e338c8a-cb10-4282-963d-18abb8d6e690;;;;;;
False;Calliope - Anschlüsse und Pinbelegung;https://www.tutory.de/bereitstellung/dokument/f3345d45-2673-40c9-b192-c37715d0cb77;;;;;;
True;Niveau A: Römisches Imperium in Europa;https://www.tutory.de/bereitstellung/dokument/e47f3e18-06bd-45ac-9b69-335b1d4063ff;;;Europa;GESCHICHTE;;
False;Leistungsüberprüfung;https://www.tutory.de/bereitstellung/dokument/7f28f9be-d16d-4a3d-a6a6-63dd17e9f469;;;;;;
True;Handreichung: Römisches Imperium ;https://www.tutory.de/bereitstellung/dokument/70f80123-3466-4e1d-a7e2-35014c189c38;;;Kaiser, Kirche, Reich;GESCHICHTE;;
True;Handreichung: Römisches Imperium ;https://www.tutory.de/bereitstellung/dokument/f3a43243-8268-49ed-aca4-3ceead6d0e48;;;Kaiser, Kirche, Reich;GESCHICHTE;;
False;Vorschlag Leistungsprüfung;https://www.tutory.de/bereitstellung/dokument/d8cd211b-3e50-43a1-9322-3a243590437f;;;;;;
False;class 6 | Vocab-Test Unit 5 No. 1 - LVL 2;https://www.tutory.de/bereitstellung/dokument/e14f6c29-287d-4d64-87b4-7d7c9f47d572;;;;;;
False;Lösungsblatt B;https://www.tutory.de/bereitstellung/dokument/4a609300-2878-4fbb-8bd3-1930f5fbbfce;;;;;;
True;Der Weg in die Katastrophe B B;https://www.tutory.de/bereitstellung/dokument/22bd0f0b-be67-48b8-81b6-ced3f4e5d09d;;;Katastrophe, Katastrophe;SPIEL- UND DOKUMENTARFILM;;
False;Lösungsblatt A;https://www.tutory.de/bereitstellung/dokument/833fd9cc-b36c-4052-9f77-a8aa0df746bd;;;;;;
True;Der Weg in die Katastrophe  A;https://www.tutory.de/bereitstellung/dokument/5e124398-3518-41aa-94da-e9b2468b0c9b;;;Katastrophe, Katastrophe;SPIEL- UND DOKUMENTARFILM;;
False;Leistungskontrolle Ursachen 1. Weltkrieg Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/b2ee014b-8846-43f7-a952-e1afaf505329;;;;;;
False;Leistungskontrolle Ursachen 1. Weltkrieg;https://www.tutory.de/bereitstellung/dokument/08988a04-9499-416e-bf73-0720e25dd407;;;;;;
True;Handreichung - der Weg in die Katastrophe;https://www.tutory.de/bereitstellung/dokument/2d1fee55-2543-4d0f-8274-8a4a93ab0d4f;;;Kaiser, Kirche, Reich, Katastrophe, Katastrophe;SPIEL- UND DOKUMENTARFILM, GESCHICHTE;;
False;Emser Depesche (1870) Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/41954719-b83d-4390-90a5-dafde01d46e2;;;;;;
False;Steckbrief Brasilien;https://www.tutory.de/bereitstellung/dokument/bc181df6-0d0c-422b-a126-faa273b1da26;;;;;;
False;Emser Depesche (1870) Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/05feb65c-9c78-45d4-9d0b-91dd2c913b47;;;;;;
False;Emser Depesche (1870) Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/aa86b16c-3fd1-4a7e-bb38-840bcdf2ee76;;;;;;
False;Emser Depesche (1870) Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/79f77a76-ae0e-4c8c-8000-603679663ebf;;;;;;
False;Emser Depesche (1870) Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/4bea80af-32b5-4329-b8b2-a21641e03c35;;;;;;
False;Emser Depesche (1870) Erwartungshorizont;https://www.tutory.de/bereitstellung/dokument/b0a27435-7279-4355-9ad5-71b11029ddd3;;;;;;
True;Nord-, Süd- und Mittelamerika;https://www.tutory.de/bereitstellung/dokument/12011718-40b5-4dd7-b677-34e4747b8074;;;Mittelamerika;GEOGRAPHIE;;
False;Lernzielkontrolle;https://www.tutory.de/bereitstellung/dokument/4eb77846-6ec8-468c-8d05-ab58112be0bd;;;;;;
True;Arbeitsauftrag;https://www.tutory.de/bereitstellung/dokument/0a5bdea6-5be9-4d2c-b80e-104d027b5b0e;;;Arbeit;POLITISCHE BILDUNG;;
True;Die 4 Grundprinzipien einer gelungenen Kommunikation Merkblatt;https://www.tutory.de/bereitstellung/dokument/7f30fdcf-70bb-497e-a5cf-2368fadf3e22;;;Kommunikation, Massenkommunikation;POLITISCHE BILDUNG;;
True;Die 4 Grundprinzipien einer gelungenen Kommunikation;https://www.tutory.de/bereitstellung/dokument/721915a6-c16e-4082-8fe6-2f762959e070;;;Kommunikation, Massenkommunikation;POLITISCHE BILDUNG;;
True;Zusatzaufgabe;https://www.tutory.de/bereitstellung/dokument/20d5f817-c97e-4aba-bcf3-e7894899877b;;;Nordamerika, USA;GEOGRAPHIE, FREMDSPRACHEN;;
True;Formulierungshilfen;https://www.tutory.de/bereitstellung/dokument/2528f140-ac1d-4349-b783-ae6fc62e48e8;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
True;Arbeitsauftrag;https://www.tutory.de/bereitstellung/dokument/00e4d961-2f02-41c2-b47b-3f5ff51a61f1;;;Arbeit;POLITISCHE BILDUNG;;
False;Drei sprachliche Grundprinzipien Merkblatt;https://www.tutory.de/bereitstellung/dokument/376dc983-3103-447a-99a0-532a151dcb30;;;;;;
False;Drei sprachliche Grundprinzipien;https://www.tutory.de/bereitstellung/dokument/049f2690-1ee6-4896-ae89-49f19a88d48d;;;;;;
False;Steckbrief Argentinien;https://www.tutory.de/bereitstellung/dokument/8f3bdfad-de15-4752-bf47-b4a01253148f;;;;;;
False;Steckbrief Brasilien;https://www.tutory.de/bereitstellung/dokument/a60f7f27-fd97-450a-9b25-8afca370bf1f;;;;;;
False;Steckbrief Guyana;https://www.tutory.de/bereitstellung/dokument/56224707-d8b2-4176-b149-d17434aa764b;;;;;;
False;Bewertungsbogen Kurzreferat 2;https://www.tutory.de/bereitstellung/dokument/0eb03849-981a-4af8-8228-c57b6f4b13e6;;;;;;
False;Bewertungsbogen Kurzreferat;https://www.tutory.de/bereitstellung/dokument/ba70d782-a9c4-433d-8486-3312dbbc6d3e;;;;;;
True;Südamerikas Staaten Steckbrief;https://www.tutory.de/bereitstellung/dokument/e2a519cc-9b74-4a40-97f6-10ff77136c72;;;Sprechen, Schreiben, Staat, Gemeinde;GEOGRAPHIE, DEUTSCH;;
True;Arbeitsauftrag 11.09.20;https://www.tutory.de/bereitstellung/dokument/0a3c8afb-d96b-4bd3-a5c4-9fd69a35312f;;;Arbeit;POLITISCHE BILDUNG;;
True;Arbeitsauftrag 28.08.20;https://www.tutory.de/bereitstellung/dokument/6e0b2443-0b9c-427b-be5a-0b08a20f7107;;;Arbeit;POLITISCHE BILDUNG;;
True;Nord-, Süd- und Mittelamerika;https://www.tutory.de/bereitstellung/dokument/be1600bc-8e53-4810-88b6-52388401644e;;;Mittelamerika;GEOGRAPHIE;;
False;Lernzielkontrolle;https://www.tutory.de/bereitstellung/dokument/b6391f4b-1c96-46fa-8eb7-677f45b0024b;;;;;;
True;Arbeitsauftrag;https://www.tutory.de/bereitstellung/dokument/43b07f45-fdd1-4db6-8cb3-d9ca45ffd18b;;;Arbeit;POLITISCHE BILDUNG;;
True;Die 4 Grundprinzipien einer gelungenen Kommunikation Merkblatt;https://www.tutory.de/bereitstellung/dokument/7e002f08-026c-4d55-8f3d-fc89c17ab09c;;;Kommunikation, Massenkommunikation;POLITISCHE BILDUNG;;
True;Die 4 Grundprinzipien einer gelungenen Kommunikation;https://www.tutory.de/bereitstellung/dokument/9029644a-3496-4e38-8704-5ea12f192633;;;Kommunikation, Massenkommunikation;POLITISCHE BILDUNG;;
True;Zusatzaufgabe;https://www.tutory.de/bereitstellung/dokument/f32f9668-47d3-4cba-98fd-9b1beec85680;;;Nordamerika, USA;GEOGRAPHIE, FREMDSPRACHEN;;
True;Formulierungshilfen;https://www.tutory.de/bereitstellung/dokument/d2b2ced1-435e-4b93-9071-567a7e0814df;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
True;Arbeitsauftrag;https://www.tutory.de/bereitstellung/dokument/24a535b7-4229-4a29-99e3-dfae50ed4149;;;Arbeit;POLITISCHE BILDUNG;;
False;Drei sprachliche Grundprinzipien Merkblatt;https://www.tutory.de/bereitstellung/dokument/f3dc05bc-e37c-41e0-af0a-3f39492a0786;;;;;;
