inferenced;title;url;discipline;learningResourceType;systematics;discipline systematics;words primary
True;Deutschklassenarbeit am 29.09.2020;https://www.tutory.de/bereitstellung/dokument/13b86688-dc5e-48d7-826a-76b860eaf60b;Deutsch;;Comics, Cartoons, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Anlässe zum Sprechen, Lesen, Schreiben, Mittelalter, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Arbeit, Märchen, Sagen, Darstellendes Spiel, Schultheater, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;GRUNDSCHULE, DEUTSCH, POLITISCHE BILDUNG;;
True;Deutschklassenarbeit am 29.09.2020;https://www.tutory.de/bereitstellung/dokument/1041baa0-f7e5-457c-b230-d9ad61eb5666;Deutsch;;Comics, Cartoons, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Anlässe zum Sprechen, Lesen, Schreiben, Mittelalter, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Arbeit, Märchen, Sagen, Darstellendes Spiel, Schultheater, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;GRUNDSCHULE, DEUTSCH, POLITISCHE BILDUNG;;
True;Deutschklassenarbeit am 29.09.2020;https://www.tutory.de/bereitstellung/dokument/e09422cc-35d7-455f-9b54-1fdba0ca7f2b;Deutsch;;Comics, Cartoons, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Anlässe zum Sprechen, Lesen, Schreiben, Mittelalter, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Arbeit, Märchen, Sagen, Darstellendes Spiel, Schultheater, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;GRUNDSCHULE, DEUTSCH, POLITISCHE BILDUNG;;
True;Deutschklassenarbeit am 29.09.2020;https://www.tutory.de/bereitstellung/dokument/32ce89c7-0ff7-43be-9169-f780090aa0d0;Deutsch;;Comics, Cartoons, Arbeit an einer Inszenierung, 21. Jahrhundert, Literatursoziologie, 20. Jahrhundert, Adaption in anderer Form, Aufzeichnung einer Inszenierung, Romane, Novellen, Erzählungen, Sprachgeschichte, Sprachentwicklung, Lesung, Anlässe zum Sprechen, Lesen, Schreiben, Mittelalter, Adaption als Verfilmung, Kommunikationsanregung, 19. Jahrhundert, Kinder- und Jugendliteratur, Lesung, Hörspiel, Hörbild, Adaption als Hörspiel, Überblicksdarstellungen, 16. - 18. Jahrhundert, Kommunikationstheorie, Probleme der Kommunikation, Arbeit, Märchen, Sagen, Darstellendes Spiel, Schultheater, Antike, Biographien, Nichtliterarische Texte, Literaturtheorie, Lyrik;GRUNDSCHULE, DEUTSCH, POLITISCHE BILDUNG;;
True;Fahrradprüfung;https://www.tutory.de/bereitstellung/dokument/aea268f4-4595-4c75-96b2-08487d0080eb;;;Fahrrad;VERKEHRSERZIEHUNG;;
False;Jumbled Words;https://www.tutory.de/bereitstellung/dokument/9ecd1e4a-1130-4d93-9088-309d56c30e22;;;;;;
False;Lesefortschritt Lesetagebuch;https://www.tutory.de/bereitstellung/dokument/611e9b72-a785-47fc-ad39-e011d12bed0c;;;;;;
True;English_Vocabulary Test 22.09.2020;https://www.tutory.de/bereitstellung/dokument/963089d8-1fb9-4144-af32-1949e5a79170;Englisch;;;;;
True;Kopie von: English_Vocabulary Test;https://www.tutory.de/bereitstellung/dokument/eec3ba36-d72a-43af-b35a-2cfe6c5343db;Englisch;;;;;
False;Genus Substantive;https://www.tutory.de/bereitstellung/dokument/3c292052-8927-4efe-8b20-c0f1a2a3bba1;;;;;;
True;Film - Das Drehbuch;https://www.tutory.de/bereitstellung/dokument/1c4f33f1-e4b4-4d3f-b033-e275081be1a5;;;Film, Funk und Fernsehen, Sprechen, Film, Schreiben;RELIGION, BERUFLICHE BILDUNG, DEUTSCH;;
False;Test Feuervogel;https://www.tutory.de/bereitstellung/dokument/df395b32-a9d5-44c6-8c35-aa78698bb6d6;;;;;;
True;DaZ 3-4 Klasse;https://www.tutory.de/bereitstellung/dokument/e1ffa555-7750-44bb-b96c-e30a722c54f8;Deutsch als Zweitsprache;;Soziale Kontakte, Interkulturelles Verstehen, Meinungsaustausch, Handwerk, Sprechen, Einwirkende Interaktion, Seh-/Hörverstehen und Hörverstehen, Grammatik/Systematisierung, Landeskunde Deutschland, Leseverstehen, Medizin und Pflege, Schreiben, Recht, Wirtschaft, Alphabetisierung, Übersetzen, Naturwissenschaft und Technik, Informationsaustausch;DEUTSCH;;
False;Den Umgang mit dem IPad lernen;https://www.tutory.de/bereitstellung/dokument/12c8388c-ce3d-4902-84e5-c912433bdcc8;;;;;;
True;Test alle Zeitformen;https://www.tutory.de/bereitstellung/dokument/aa48cbe0-27da-46e0-9006-39d76d3efacc;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
True;Test alle Zeitformen;https://www.tutory.de/bereitstellung/dokument/0a145cda-eea1-434a-be96-c31c9bd9d6e9;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
True;Test alle Zeitformen;https://www.tutory.de/bereitstellung/dokument/db6cac40-d891-4659-b252-ffa2870ab95e;;;Form, Komposition, Perspektive;BILDENDE KUNST;;
True;Pflegeplanung;https://www.tutory.de/bereitstellung/dokument/aa7ce474-6816-43c0-9529-d83f50616c9f;;;Anpassung, Bau, Pflege, Medizin und Pflege;GRUNDSCHULE, DEUTSCH;;
False;Kafkas Verwandlung;https://www.tutory.de/bereitstellung/dokument/6c6f9fbf-0f11-44eb-b52d-3387ba863ce1;;;;;;
True; Klasssenarbeit Nummer  1 - Lineare Funktionen;https://www.tutory.de/bereitstellung/dokument/9cbbe2a8-d5d7-43a0-a3f5-869bf9e0f152;;;Film, Funk und Fernsehen, Arbeit;BERUFLICHE BILDUNG, POLITISCHE BILDUNG;;
True;Checkliste Lineare Funktionen;https://www.tutory.de/bereitstellung/dokument/914f3649-7bd9-412d-b57c-fac82a56de57;;;Film, Funk und Fernsehen;BERUFLICHE BILDUNG;;
False;Komparativ und Superlativ;https://www.tutory.de/bereitstellung/dokument/01def862-a842-4827-a424-32ba1fb204ef;;;;;;
False;Calliope - Sensoren, Anschlüsse und Pinbelegung;https://www.tutory.de/bereitstellung/dokument/1e511719-1feb-477c-ab78-b76fd39dd346;;;;;;
True;Dreiecksarten bestimmen Winkel;https://www.tutory.de/bereitstellung/dokument/d563f0be-d6a9-4065-b0a6-c11c5fd78edc;;;Arten, Biotope;UMWELTGEFÄHRDUNG, UMWELTSCHUTZ;;
False;Kopie von: Test;https://www.tutory.de/bereitstellung/dokument/eea50a62-07b7-4324-8563-eb46b7d87d75;;;;;;
False;Test;https://www.tutory.de/bereitstellung/dokument/cb79a0b0-60da-4ba5-aabc-7d818085b360;;;;;;
True;Kreuzworträtsel Kommunikation;https://www.tutory.de/bereitstellung/dokument/7f68373e-e9e4-460a-b49c-3dd4a1d7998b;;;Kommunikation, Massenkommunikation;POLITISCHE BILDUNG;;
True;Kreuzworträtsel Kommunikation;https://www.tutory.de/bereitstellung/dokument/22eb7f55-4d70-480b-9cf1-8f8a4daeb23b;;;Kommunikation, Massenkommunikation;POLITISCHE BILDUNG;;
True;Vokabeln Englisch Gemüse;https://www.tutory.de/bereitstellung/dokument/dc14a87a-8a3a-4195-9b4a-ff8187e30343;Englisch;;Spielfilm, Großbritanniens und Irlands, Bilingualer Unterricht, Englisch, Andere englischsprachiger Länder, Nordamerikas, Sprachliche Fertigkeiten, Nordamerika, Andere englischsprachige Länder, Australien, Neuseeland, Großbritannien, Irland;FREMDSPRACHEN, GRUNDSCHULE;;
True;GL Test Weimarer Republik;https://www.tutory.de/bereitstellung/dokument/0b169944-4637-4069-8cb6-a9ba849e2803;;;Weimarer Republik;GESCHICHTE;;
False;FSJ;https://www.tutory.de/bereitstellung/dokument/e0823176-bc75-439e-aae5-6e50446b555f;;;;;;
False;Kurzkontrolle 2;https://www.tutory.de/bereitstellung/dokument/15652353-1045-4be4-8c43-5434cc3a3e08;;;;;;
