lom.general.title,lom.general.description,lom.general.keyword,lom.technical.location,valuespaces.discipline,valuespaces.learningResourceType
"""das röcheln der mona lisa - einführung in ein hörspielexperiment"" von Ernst Jandl","Jandl gibt Einblicke in die Entstehung und die Kontexte der Produktion aus dem Jahr 1970 ""das röcheln der mona lisa"" - ohne auf Kosten des Hörspiels zu viel auszudeuten. // Hörspiel-Empfehlungen: www.hörspielpool.de/newsletter",,https://www.br.de/mediathek/podcast/hoerspiel-pool/das-roecheln-der-mona-lisa-einfuehrung-in-ein-hoerspielexperiment-von-ernst-jandl/31257,['Deutsch'],['Audio']
"Folge 26: Un jeu - Ordnungszahlen, Bruchzahlen, unpersönliche Ausdrücke","Wir treffen uns in Bourges. Hier sehen wir uns eine Quizsendung im Fernsehen an. Kandidat Henri wird nach den  Etappen unserer Sprachkursreise gefragt. Bei dieser Gelegenheit lernen Sie das Verb ""plaire"" (gefallen) kennen.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-26-un-jeu-ordnungszahlen-bruchzahlen-unpersoenliche-ausdruecke/51265,['Französisch'],['Video']
"""Die Alarmbereiten"" von Kathrin Röggla - Das Leben als Worst Case Szenario","Alarm im Radio und Fernsehen, Elternbeiräten, Teambesprechungen und öffentlichen Sicherheitshinweisen - überall und unüberhörbar. Kathrin Röggla lauscht Alarmierten und Beschwichtigern ihre Worthülsen ab. Mit Dorothee Metz, Hanns Zischler, Achim Bogdahn, Imke Köhler, Eva Brunner, Tony de Maeyer u.a. / Komp: Bo Wiget / Regie: Leopold von Verschuer / BR 2009 // Hörspiel-Empfehlungen: www.hörspielpool.de/newsletter",,https://www.br.de/mediathek/podcast/hoerspiel-pool/die-alarmbereiten-von-kathrin-roeggla-das-leben-als-worst-case-szenario/31236,['Deutsch'],['Audio']
"Folge 25: Au tribunal - Personalien angeben, einen Unfall schildern","Schauplatz dieser Sendung ist Poitiers, die Hauptstadt der ehemaligen Grafschaft Poitou. Diesmal erleben wir eine kleine Szene auf dem Gericht. Da dreht sich alles um ein Huhn.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-25-au-tribunal-personalien-angeben-einen-unfall-schildern/51266,['Französisch'],['Video']
"ARD Radio Tatort ""Bankraub und Gerechtigkeit"" - Krimi mit wahrer Vorgeschichte von Franz Dobler","Die Bankräuber tragen Masken - wie alle zu Corona-Zeiten. Eine Herausforderung für das Münchner Ermittler-Duo, das nur dort eingesetzt wird, wo es keinen Schaden anrichten kann.// Mit Bibiana Beglau, Johannes Silberschneider, Judith Toth, Johanna Bittenbinder u.a. Musik: Das Hobos. Regie: Ulrich Lampen BR 2020 // Hörspiel-Empfehlungen: www.hörspielpool.de/newsletter
",,https://www.br.de/mediathek/podcast/hoerspiel-pool/ard-radio-tatort-bankraub-und-gerechtigkeit-krimi-mit-wahrer-vorgeschichte-von-franz-dobler/1810065,['Deutsch'],['Audio']
"Folge 24: Les huîtres - Wortstellung ""chaque, chacun / chacune""","Im alten Hafenbecken von La Rochelle erleben wir einen Austernverkäufer, der ""huîtres fraiches du jour"", fangfrische Austern, anbietet. Sie lernen das Verb ""devoir"" und die einfache Vergangenheit.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-24-les-hu-tres-wortstellung-chaque-chacun-chacune/51267,['Französisch'],['Video']
"""Einsam stirbt öfter. Ein Requiem"" | Nominiert für den ARD-Hörspielpreis","Ein Requiem für all jene, die in der übervollen Großstadt vereinsamt leben, unbemerkt versterben und schließlich allein bestattet werden. ""Einsam stirbt öfter erkundet, was im Leben wirklich wichtig ist. Wie müssen wir leben, um glücklich zu sterben?

//Mit Mareike Beykirch, Stephan Bissmeier, Katja Bürkle, Peter Fricke, Ercan Karacayli, Sylvana Krappatsch, Jeannette Kummer, Christopher Mann, Raphaela Möst, Wolfgang Petters, Uta Rachov, Friedrich Schloffer, Johannes Silberschneider, Georgia Stahl, Harry Täschner, Xenia Tiling, Ulrich Zentner, Stephan Zinner/ Komposition: Maasl Meier und Marja Burchard / Regie: Gesche Piening / BR 2020 // ? Hier geht's zur Online-Abstimmung über den ARD-Hörspielpreis 2020 https://www.swr.de/swr2/hoerspiel/ard-hoerspieltage/voting-ard-hoerspieltage-2020-100.html",,https://www.br.de/mediathek/podcast/hoerspiel-pool/einsam-stirbt-oefter-ein-requiem-nominiert-fuer-den-ard-hoerspielpreis/1798841,['Deutsch'],['Audio']
"Folge 23: A la mairie - Verb ""lire"" (lesen), ein Telefongespräch führen","Wir sind in der ""mairie"", der Amtssitz des Bürgermeisters, wo sich auch das Standesamt, ""L'Etat Civil"", befindet. Es dreht sich alles um ""le fiche d'état civil"", einen Auszug aus dem Familienregister, den man zum Heiraten braucht.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-23-a-la-mairie-verb-lire-lesen-ein-telefongespraech-fuehren/51268,['Französisch'],['Video']
"Abschied von der großen Liebe: ""Und jetzt bin ich hier"" von Marée","Marée schreibt über ihre große Liebe - eine Malerin. Sie schreibt über die schreckliche Diagnose, den Kampf gegen die Krankheit, das Hoffen und Loslassen müssen. Sie schreibt eindringlich und sehr persönlich, komponiert Songs, die unter die Haut gehen. Es entstehen verschiedene Textebenen - Erzählung, Chronologie, Tagebucheinträge - dazu kommen Soundelemente und Klänge, die bei aller Traurigkeit wunderschön sind. Es ist ein Prozess der Befreiung aus tiefer Verzweiflung zurück zum Leben.
Mit Xenia Tiling / Komposition: Marée/ Bearbeitung und Regie: Regine Elbers / Experimentelles Radio Weimar 2019, // Aktuelle Hörspiel-Empfehlungen per Mail: www.hörspielpool.de/newsletter
",,https://www.br.de/mediathek/podcast/hoerspiel-pool/abschied-von-der-grossen-liebe-und-jetzt-bin-ich-hier-von-mar-e/1808496,['Deutsch'],['Audio']
"Folge 22: En grève - eine Radiodurchsage verstehen, Unzufriedenheit äußern","In Limoges finden wir nicht nur Porzellanmanufakturen und Emailkünstler, sondern auch viele kleine Handwerksbetriebe. Wir besuchen die Werkstatt des Fahrradhändlers Emile und erfahren, warum er seinen eigenen Betrieb bestreikt.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-22-en-gr-ve-eine-radiodurchsage-verstehen-unzufriedenheit-aeussern/51269,['Französisch'],['Video']
